gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
195,-496,48.875,-123.875,11,1,12.25,9,6,True,0.08841158841158842,0.0,0.04420579420579421,0.027472527472527472,0.6666666666666666,5.295,2.080873254106948,0.3929509456987255
195,-495,48.875,-123.625,43,1,21.125,25,10,True,0.020572450805008944,0.0,0.010286225402504472,0.11538461538461539,0.4,3.6,1.0218901082558225,0.284825287794123
195,-494,48.875,-123.375,37,1,42.25,24,9,True,0.024354024354024357,0.0,0.012177012177012178,0.0989010989010989,0.375,3.3,0.6576877527343429,0.20268777694774748
195,-493,48.875,-123.125,1,30,0.0,3,3,True,1.0,1.0,1.0,0.0,1.0,,,
196,-505,49.125,-126.125,3,1,3.0,0,0,False,0.3315018315018315,0.0,0.16575091575091574,0.005494505494505495,,,,
196,-504,49.125,-125.875,6,2,3.0,2,2,True,0.16437728937728938,0.034482758620689655,0.09943002399898951,0.013736263736263736,1.0,,,
196,-503,49.125,-125.625,2,1,1.0,5,5,True,0.49862637362637363,0.0,0.24931318681318682,0.0027472527472527475,1.0,,,
196,-501,49.125,-125.125,2,2,1.0,0,0,False,0.49862637362637363,0.034482758620689655,0.2665545661235316,0.0027472527472527475,,,,
196,-500,49.125,-124.875,7,1,12.5,0,0,False,0.14050235478806908,0.0,0.07025117739403454,0.016483516483516484,,,,
196,-499,49.125,-124.625,28,2,24.5,0,0,False,0.0330651491365777,0.034482758620689655,0.033773953878633675,0.07417582417582418,,,,
196,-498,49.125,-124.375,15,1,6.0,23,11,True,0.0641025641025641,0.0,0.03205128205128205,0.038461538461538464,0.4782608695652174,4.94,1.317254482867401,0.26363659943055323
196,-497,49.125,-124.125,25,1,14.083333333333336,8,7,True,0.03736263736263736,0.0,0.01868131868131868,0.06593406593406594,0.875,7.0,1.0362597109431995,0.1480371015633146
196,-496,49.125,-123.875,146,1,37.5,39,13,True,0.00412087912087912,0.0,0.00206043956043956,0.3983516483516483,0.3333333333333333,3.065,1.212190348700704,0.3959476950205779
196,-495,49.125,-123.625,51,1,40.0,4,4,True,0.016914458090928678,0.0,0.008457229045464339,0.13736263736263737,1.0,,,
196,-494,49.125,-123.375,39,3,12.5,4,2,True,0.02296421527190758,0.06896551724137931,0.04596486625664344,0.1043956043956044,0.5,,,
196,-493,49.125,-123.125,147,1,81.38461538461539,167,32,True,0.0040741571353816244,0.0,0.0020370785676908122,0.4010989010989011,0.19161676646706588,2.165,0.5904387740424157,0.24561637409988304
196,-492,49.125,-122.875,77,1,272.25,63,30,True,0.01027543884686742,0.0,0.00513771942343371,0.2087912087912088,0.47619047619047616,4.35,1.3199131569761544,0.29524940037064457
196,-491,49.125,-122.625,75,1,55.125,42,31,True,0.010622710622710623,0.0,0.005311355311355312,0.2032967032967033,0.7380952380952381,6.55,3.9657079808423634,0.6037589866438106
196,-490,49.125,-122.375,38,1,66.125,21,18,True,0.023640832851359168,0.0,0.011820416425679584,0.10164835164835165,0.8571428571428571,7.06,2.2467202774093424,0.3179149794124654
196,-489,49.125,-122.125,17,1,25.0,58,29,True,0.056237879767291526,0.0,0.028118939883645763,0.04395604395604396,0.5,6.195,2.9054269375530413,0.45834139000849716
196,-488,49.125,-121.875,57,1,52.08333333333334,64,35,True,0.014844804318488529,0.0,0.007422402159244264,0.15384615384615385,0.546875,5.735,1.3024184009220872,0.22727187103830349
196,-487,49.125,-121.625,3,2,3.0,101,22,True,0.3315018315018315,0.034482758620689655,0.18299229506126058,0.005494505494505495,0.21782178217821782,5.65,0.41649607608391115,0.0730459052147574
196,-486,49.125,-121.375,1,2,0.0,12,11,True,1.0,0.034482758620689655,0.5172413793103449,0.0,0.9166666666666666,7.63,0.8528874484722148,0.11171294049312074
196,-485,49.125,-121.125,6,2,15.0,2,2,True,0.16437728937728938,0.034482758620689655,0.09943002399898951,0.013736263736263736,1.0,,,
196,-484,49.125,-120.875,58,1,33.33333333333334,102,19,True,0.014541492989768852,0.0,0.007270746494884426,0.1565934065934066,0.18627450980392157,2.425,0.870652967271555,0.33027708567541103
196,-483,49.125,-120.625,4,3,6.0,0,0,False,0.24793956043956045,0.06896551724137931,0.1584525388404699,0.008241758241758242,,,,
196,-481,49.125,-120.125,3,9,3.0,0,0,False,0.3315018315018315,0.27586206896551724,0.3036819502336744,0.005494505494505495,,,,
196,-480,49.125,-119.875,13,9,20.25,17,6,True,0.07438715131022823,0.27586206896551724,0.17512461013787273,0.03296703296703297,0.35294117647058826,3.89,2.0249301918194753,0.5272671125816926
196,-479,49.125,-119.625,119,2,133.38888888888889,902,184,True,0.005679194754825007,0.034482758620689655,0.02008097668775733,0.3241758241758242,0.2039911308203991,5.005,2.224414094383187,0.437504296064522
196,-478,49.125,-119.375,56,1,81.0,29,16,True,0.01515894819466248,0.0,0.00757947409733124,0.1510989010989011,0.5517241379310345,5.79,2.9398282593960516,0.5060169185720649
196,-477,49.125,-119.125,3,3,3.0,6,5,True,0.3315018315018315,0.06896551724137931,0.20023367437160539,0.005494505494505495,0.8333333333333334,,,
