gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
195,-493,48.875,-123.125,2,4,1.0,1,1,True,0.4998173182316405,0.04225352112676056,0.27103541967920053,0.00036536353671903543,1.0,0.4998173182316405,0.04225352112676056,0.5096774193548387,,0.2690712573303732,0.004779078519973587,,,
196,-504,49.125,-125.875,4,8,6.0,5,4,True,0.24972597734746074,0.09859154929577464,0.1741587633216177,0.0010960906101571063,0.8,0.24972597734746074,0.09859154929577464,0.1655913978494624,,0.018990933913097904,0.004796877831142202,4.0,1.1890098805672553,0.29725247014181383
196,-500,49.125,-124.875,4,16,6.0,1,1,True,0.24972597734746074,0.2112676056338028,0.2304967914906318,0.0010960906101571063,1.0,0.24972597734746074,0.2112676056338028,0.07168458781362007,88.0,0.0073152184318117965,0.1518091720861878,,,
196,-498,49.125,-124.375,4,2,6.0,7,7,True,0.24972597734746074,0.014084507042253521,0.13190524219485714,0.0010960906101571063,1.0,0.24972597734746074,0.014084507042253521,0.20604048070841244,67.0,0.018798811213850773,0.36953979506191137,5.0,2.2656612274450056,0.4531322454890011
196,-497,49.125,-124.125,4,2,6.0,2,2,True,0.24972597734746074,0.014084507042253521,0.13190524219485714,0.0010960906101571063,1.0,0.24972597734746074,0.014084507042253521,0.22580645161290325,34.0,0.08855706216132672,0.4123090657165616,,,
196,-496,49.125,-123.875,15,1,13.5,2,2,True,0.06632566069906223,0.0,0.03316283034953112,0.005115089514066497,1.0,0.06632566069906223,0.0,0.43608124253285546,3.0,0.17529050983629108,0.0626753481211485,,,
196,-495,49.125,-123.625,3,22,3.0,0,0,False,0.3330897576421873,0.29577464788732394,0.3144322027647556,0.0007307270734380709,,0.3330897576421873,0.29577464788732394,0.13159242191500256,,0.19125691554339894,0.0016152751773831648,,,
196,-493,49.125,-123.125,11,2,28.0,19,13,True,0.09057694223934633,0.014084507042253521,0.05233072464079992,0.003653635367190354,0.6842105263157895,0.09057694223934633,0.014084507042253521,0.5195539625647153,4.0,0.13881111650091812,0.016188351505064407,4.445,1.9050606308858464,0.42858506881571345
196,-492,49.125,-122.875,11,7,40.5,37,28,True,0.09057694223934633,0.08450704225352113,0.08754199224643372,0.003653635367190354,0.7567567567567568,0.09057694223934633,0.08450704225352113,0.48677112135176653,0.0,0.09798602762584044,0.02384199625281117,4.85,2.8200046907966527,0.5814442661436398
196,-491,49.125,-122.625,1,2,0.0,5,5,True,1.0,0.014084507042253521,0.5070422535211268,0.0,1.0,1.0,0.014084507042253521,0.3118279569892473,1.0,0.08445553010427662,0.06405256308850561,5.0,1.2064100251609209,0.24128200503218417
196,-490,49.125,-122.375,1,28,0.0,1,1,True,1.0,0.38028169014084506,0.6901408450704225,0.0,1.0,1.0,0.38028169014084506,0.4838709677419355,11.0,0.07075694333072746,0.07209778957381677,,,
196,-489,49.125,-122.125,3,5,3.0,0,0,False,0.3330897576421873,0.056338028169014086,0.19471389290560068,0.0007307270734380709,,0.3330897576421873,0.056338028169014086,0.058542413381123065,11.0,0.02182626937706997,0.0689540043695068,,,
