gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
193,-495,48.375,-123.625,21,1,0.0,55,3,True,0.0422077922077922,0.0,0.0211038961038961,0.11363636363636363,0.05454545454545454,0.245,0.1521787687914107,0.6211378318016764
193,-494,48.375,-123.375,18,3,0.0,79,2,True,0.05018939393939393,0.06896551724137931,0.059577455590386616,0.09659090909090909,0.02531645569620253,0.165,0.027629238077889577,0.16744992774478532
194,-499,48.625,-124.625,3,7,3.0,1,0,True,0.32954545454545453,0.20689655172413793,0.26822100313479624,0.011363636363636364,0.0,,,
194,-498,48.625,-124.375,2,12,0.0,17,3,True,0.4971590909090909,0.3793103448275862,0.43823471786833856,0.005681818181818182,0.17647058823529413,1.84,0.07642617010637268,0.041535962014332975
194,-497,48.625,-124.125,8,3,0.0,37,3,True,0.12002840909090907,0.06896551724137931,0.0944969631661442,0.03977272727272727,0.08108108108108109,1.3,0.06819545342326883,0.052458041094822175
194,-495,48.625,-123.625,10,1,8.0,89,3,True,0.09488636363636363,0.0,0.047443181818181815,0.05113636363636364,0.033707865168539325,0.19,0.07164455409164953,0.37707660048236596
194,-494,48.625,-123.375,9,3,0.0,84,4,True,0.10606060606060605,0.06896551724137931,0.08751306165099268,0.045454545454545456,0.047619047619047616,0.975,0.18426006246048485,0.18898467944665112
194,-493,48.625,-123.125,2,15,1.0,1,0,True,0.4971590909090909,0.4827586206896552,0.48995885579937304,0.005681818181818182,0.0,,,
195,-503,48.875,-125.625,4,10,6.0,9,1,True,0.24573863636363635,0.3103448275862069,0.27804173197492166,0.017045454545454544,0.1111111111111111,0.57,0.2359406595988846,0.41393098175242915
195,-501,48.875,-125.125,6,13,3.0,15,1,True,0.16193181818181815,0.41379310344827586,0.287862460815047,0.028409090909090908,0.06666666666666667,0.34,0.05082152609293713,0.14947507674393273
195,-499,48.875,-124.625,1,28,0.0,4,3,True,1.0,0.9310344827586207,0.9655172413793103,0.0,0.75,,,
195,-496,48.875,-123.875,7,3,21.0,20,1,True,0.13798701298701296,0.06896551724137931,0.10347626511419614,0.03409090909090909,0.05,0.425,0.010490681991661328,0.02468395762743842
195,-495,48.875,-123.625,13,3,1.0,44,1,True,0.07167832167832168,0.06896551724137931,0.0703219194598505,0.06818181818181818,0.022727272727272728,0.405,0.14528977459510264,0.3587401841854386
195,-494,48.875,-123.375,7,3,0.5,70,1,True,0.13798701298701296,0.06896551724137931,0.10347626511419614,0.03409090909090909,0.014285714285714285,0.065,0.004996738279725747,0.07687289661116534
