gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
195,-495,48.875,-123.625,28,2,112.5,29,20,True,0.033418367346938774,0.034482758620689655,0.033950562983814214,0.06428571428571428,0.6896551724137931,3.79
195,-494,48.875,-123.375,4,1,0.0,8,5,True,0.24821428571428572,0.0,0.12410714285714286,0.007142857142857143,0.625,3.425
196,-505,49.125,-126.125,10,1,32.0,7,3,True,0.09785714285714286,0.0,0.04892857142857143,0.02142857142857143,0.42857142857142855,2.38
196,-504,49.125,-125.875,20,4,10.125,97,33,True,0.04773809523809524,0.10344827586206896,0.0755931855500821,0.04523809523809524,0.3402061855670103,3.605
196,-503,49.125,-125.625,12,3,16.0,40,18,True,0.08115079365079365,0.06896551724137931,0.07505815544608649,0.02619047619047619,0.45,3.925
196,-502,49.125,-125.375,2,9,1.0,6,6,True,0.4988095238095238,0.27586206896551724,0.3873357963875205,0.002380952380952381,1.0,5.0
196,-500,49.125,-124.875,4,2,2.0,2,2,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,1.0,
196,-498,49.125,-124.375,4,2,6.0,5,5,True,0.24821428571428572,0.034482758620689655,0.1413485221674877,0.007142857142857143,1.0,5.0
196,-497,49.125,-124.125,14,1,45.0,15,8,True,0.06921768707482993,0.0,0.03460884353741497,0.030952380952380953,0.5333333333333333,3.375
196,-496,49.125,-123.875,181,1,16.0,150,31,True,0.003157063930544593,0.0,0.0015785319652722965,0.42857142857142855,0.20666666666666667,1.685
196,-495,49.125,-123.625,51,2,44.64285714285714,10,2,True,0.017273576097105506,0.034482758620689655,0.02587816735889758,0.11904761904761904,0.2,1.26
196,-494,49.125,-123.375,5,4,4.5,7,6,True,0.1980952380952381,0.10344827586206896,0.15077175697865353,0.009523809523809525,0.8571428571428571,4.34
196,-493,49.125,-123.125,232,1,26.888888888888886,595,56,True,0.0019396551724137929,0.0,0.0009698275862068964,0.55,0.09411764705882353,1.56
196,-492,49.125,-122.875,174,1,20.055555555555557,393,58,True,0.0033798576902025175,0.0,0.0016899288451012588,0.4119047619047619,0.1475826972010178,2.42
196,-491,49.125,-122.625,212,1,17.285714285714278,138,11,True,0.002347259658580413,0.0,0.0011736298292902064,0.5023809523809524,0.07971014492753623,0.83
196,-490,49.125,-122.375,100,1,24.0,68,16,True,0.007642857142857143,0.0,0.0038214285714285715,0.2357142857142857,0.23529411764705882,1.655
196,-489,49.125,-122.125,32,1,14.399999999999999,47,15,True,0.02894345238095238,0.0,0.01447172619047619,0.07380952380952381,0.3191489361702128,3.205
196,-488,49.125,-121.875,138,1,33.0625,108,25,True,0.004882677708764665,0.0,0.0024413388543823326,0.3261904761904762,0.23148148148148148,1.545
196,-487,49.125,-121.625,5,1,10.0,14,11,True,0.1980952380952381,0.0,0.09904761904761905,0.009523809523809525,0.7857142857142857,4.035
196,-486,49.125,-121.375,17,13,25.0,22,11,True,0.05658263305322129,0.41379310344827586,0.23518786825074858,0.0380952380952381,0.5,3.27
