gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
193,-495,48.375,-123.625,21,1,0.0,55,3,True,0.0422077922077922,0.0,0.0211038961038961,0.11363636363636363,0.05454545454545454,0.245,0.245,0.23
193,-494,48.375,-123.375,18,3,0.0,79,2,True,0.05018939393939393,0.06896551724137931,0.059577455590386616,0.09659090909090909,0.02531645569620253,0.165,0.165,0.155
194,-499,48.625,-124.625,3,7,3.0,1,0,True,0.32954545454545453,0.20689655172413793,0.26822100313479624,0.011363636363636364,0.0,,,
194,-498,48.625,-124.375,2,12,0.0,17,3,True,0.4971590909090909,0.3793103448275862,0.43823471786833856,0.005681818181818182,0.17647058823529413,1.84,1.84,0.99
194,-497,48.625,-124.125,8,3,0.0,37,3,True,0.12002840909090907,0.06896551724137931,0.0944969631661442,0.03977272727272727,0.08108108108108109,1.3,1.3,0.885
194,-495,48.625,-123.625,10,1,8.0,89,3,True,0.09488636363636363,0.0,0.047443181818181815,0.05113636363636364,0.033707865168539325,0.19,0.19,0.19
194,-494,48.625,-123.375,9,3,0.0,84,4,True,0.10606060606060605,0.06896551724137931,0.08751306165099268,0.045454545454545456,0.047619047619047616,0.975,0.975,0.735
194,-493,48.625,-123.125,2,15,1.0,1,0,True,0.4971590909090909,0.4827586206896552,0.48995885579937304,0.005681818181818182,0.0,,,
195,-503,48.875,-125.625,4,10,6.0,9,1,True,0.24573863636363635,0.3103448275862069,0.27804173197492166,0.017045454545454544,0.1111111111111111,0.57,0.57,0.57
195,-501,48.875,-125.125,6,13,3.0,15,1,True,0.16193181818181815,0.41379310344827586,0.287862460815047,0.028409090909090908,0.06666666666666667,0.34,0.34,0.34
195,-499,48.875,-124.625,1,28,0.0,4,3,True,1.0,0.9310344827586207,0.9655172413793103,0.0,0.75,,,
195,-496,48.875,-123.875,7,3,21.0,20,1,True,0.13798701298701296,0.06896551724137931,0.10347626511419614,0.03409090909090909,0.05,0.425,0.425,0.425
195,-495,48.875,-123.625,13,3,1.0,44,1,True,0.07167832167832168,0.06896551724137931,0.0703219194598505,0.06818181818181818,0.022727272727272728,0.405,0.405,0.405
195,-494,48.875,-123.375,7,3,0.5,70,1,True,0.13798701298701296,0.06896551724137931,0.10347626511419614,0.03409090909090909,0.014285714285714285,0.065,0.065,0.065
196,-505,49.125,-126.125,1,1,0.0,0,0,False,1.0,0.0,0.5,0.0,,,,
196,-504,49.125,-125.875,1,29,0.0,3,1,True,1.0,0.9655172413793104,0.9827586206896552,0.0,0.3333333333333333,,,
196,-503,49.125,-125.625,6,10,0.0,7,2,True,0.16193181818181815,0.3103448275862069,0.23613832288401254,0.028409090909090908,0.2857142857142857,1.925,1.925,1.0
196,-501,49.125,-125.125,1,24,0.0,0,0,False,1.0,0.7931034482758621,0.896551724137931,0.0,,,,
196,-500,49.125,-124.875,1,10,0.0,2,1,True,1.0,0.3103448275862069,0.6551724137931034,0.0,0.5,,,
196,-499,49.125,-124.625,6,2,0.0,1,0,True,0.16193181818181815,0.034482758620689655,0.0982072884012539,0.028409090909090908,0.0,,,
196,-497,49.125,-124.125,9,1,1.0,29,1,True,0.10606060606060605,0.0,0.053030303030303025,0.045454545454545456,0.034482758620689655,0.145,0.145,0.145
196,-496,49.125,-123.875,7,2,2.0,87,5,True,0.13798701298701296,0.034482758620689655,0.0862348858038513,0.03409090909090909,0.05747126436781609,0.89,0.89,0.655
196,-495,49.125,-123.625,5,2,0.0,3,1,True,0.19545454545454546,0.034482758620689655,0.11496865203761755,0.022727272727272728,0.3333333333333333,,,
196,-493,49.125,-123.125,12,3,0.0,45,3,True,0.07812499999999999,0.06896551724137931,0.07354525862068964,0.0625,0.06666666666666667,0.38,0.38,0.34
196,-492,49.125,-122.875,28,1,1.0,90,3,True,0.03023538961038961,0.0,0.015117694805194804,0.1534090909090909,0.03333333333333333,0.425,0.425,0.385
196,-491,49.125,-122.625,17,2,3.0,61,2,True,0.053475935828877,0.034482758620689655,0.043979347224783326,0.09090909090909091,0.03278688524590164,0.23,0.23,0.215
196,-490,49.125,-122.375,8,2,0.0,96,5,True,0.12002840909090907,0.034482758620689655,0.07725558385579936,0.03977272727272727,0.052083333333333336,1.015,1.015,0.785
196,-489,49.125,-122.125,11,7,3.0,58,5,True,0.08574380165289255,0.20689655172413793,0.14632017668851524,0.056818181818181816,0.08620689655172414,1.265,1.265,0.85
196,-488,49.125,-121.875,3,2,3.0,50,8,True,0.32954545454545453,0.034482758620689655,0.1820141065830721,0.011363636363636364,0.16,2.54,2.54,0.995
196,-487,49.125,-121.625,3,2,3.0,11,5,True,0.32954545454545453,0.034482758620689655,0.1820141065830721,0.011363636363636364,0.45454545454545453,3.1,3.1,1.0
196,-486,49.125,-121.375,1,18,0.0,21,4,True,1.0,0.5862068965517241,0.7931034482758621,0.0,0.19047619047619047,2.205,2.205,1.0
196,-484,49.125,-120.875,1,7,0.0,20,3,True,1.0,0.20689655172413793,0.603448275862069,0.0,0.15,1.885,1.885,1.0
196,-483,49.125,-120.625,1,9,0.0,0,0,False,1.0,0.27586206896551724,0.6379310344827587,0.0,,,,
196,-482,49.125,-120.375,2,23,0.0,3,0,True,0.4971590909090909,0.7586206896551724,0.6278898902821316,0.005681818181818182,0.0,,,
196,-480,49.125,-119.875,1,11,0.0,3,1,True,1.0,0.3448275862068966,0.6724137931034483,0.0,0.3333333333333333,,,
196,-479,49.125,-119.625,6,11,0.5,18,2,True,0.16193181818181815,0.3448275862068966,0.25337970219435735,0.028409090909090908,0.1111111111111111,1.42,1.42,1.0
196,-478,49.125,-119.375,1,5,0.0,5,2,True,1.0,0.13793103448275862,0.5689655172413793,0.0,0.4,2.0,2.0,1.0
196,-476,49.125,-118.875,3,13,0.0,6,1,True,0.32954545454545453,0.41379310344827586,0.3716692789968652,0.011363636363636364,0.16666666666666666,1.0,1.0,1.0
196,-475,49.125,-118.625,1,29,0.0,0,0,False,1.0,0.9655172413793104,0.9827586206896552,0.0,,,,
196,-474,49.125,-118.375,1,2,0.0,3,3,True,1.0,0.034482758620689655,0.5172413793103449,0.0,1.0,,,
196,-472,49.125,-117.875,1,12,0.0,2,2,True,1.0,0.3793103448275862,0.6896551724137931,0.0,1.0,,,
196,-470,49.125,-117.375,1,1,0.0,10,1,True,1.0,0.0,0.5,0.0,0.1,0.95,0.95,0.95
196,-461,49.125,-115.125,2,15,1.0,3,0,True,0.4971590909090909,0.4827586206896552,0.48995885579937304,0.005681818181818182,0.0,,,
196,-458,49.125,-114.375,1,14,0.0,2,1,True,1.0,0.4482758620689655,0.7241379310344828,0.0,0.5,,,
196,-457,49.125,-114.125,5,2,1.0,6,0,True,0.19545454545454546,0.034482758620689655,0.11496865203761755,0.022727272727272728,0.0,0.0,0.0,0.0
197,-500,49.375,-124.875,2,15,1.0,14,3,True,0.4971590909090909,0.4827586206896552,0.48995885579937304,0.005681818181818182,0.21428571428571427,1.595,1.595,0.94
197,-499,49.375,-124.625,7,1,0.5,28,3,True,0.13798701298701296,0.0,0.06899350649350648,0.03409090909090909,0.10714285714285714,0.79,0.79,0.645
197,-498,49.375,-124.375,11,3,1.0,47,0,True,0.08574380165289255,0.06896551724137931,0.07735465944713593,0.056818181818181816,0.0,0.0,0.0,0.0
197,-497,49.375,-124.125,1,25,0.0,8,2,True,1.0,0.8275862068965517,0.9137931034482758,0.0,0.25,1.625,1.625,1.0
197,-496,49.375,-123.875,3,10,3.0,2,0,True,0.32954545454545453,0.3103448275862069,0.3199451410658307,0.011363636363636364,0.0,,,
197,-495,49.375,-123.625,5,12,4.5,13,1,True,0.19545454545454546,0.3793103448275862,0.2873824451410658,0.022727272727272728,0.07692307692307693,0.97,0.97,0.97
197,-494,49.375,-123.375,6,3,0.0,45,5,True,0.16193181818181815,0.06896551724137931,0.11544866771159873,0.028409090909090908,0.1111111111111111,1.3,1.3,0.825
197,-493,49.375,-123.125,53,2,6.25,258,4,True,0.013293310463121783,0.034482758620689655,0.023888034541905717,0.29545454545454547,0.015503875968992248,0.13,0.13,0.125
