gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
196,-493,49.125,-123.125,93,1,6.25,161,6,True,0.005163720308608227,0.0,0.0025818601543041134,0.519774011299435,0.037267080745341616,0.37,0.04926381485740517,0.13314544556055452
196,-492,49.125,-122.875,78,2,2.5,69,8,True,0.007243227582210633,0.034482758620689655,0.020862993101450143,0.4350282485875706,0.11594202898550725,1.055,0.4174607786241137,0.39569742049679024
196,-491,49.125,-122.625,37,2,2.666666666666666,32,4,True,0.021530004580852042,0.034482758620689655,0.028006381600770847,0.2033898305084746,0.125,0.86,0.17223745796585269,0.2002761139137822
196,-490,49.125,-122.375,21,3,2.0,27,3,True,0.042238364272262574,0.06896551724137931,0.05560194075682094,0.11299435028248588,0.1111111111111111,1.12,0.11153674046666132,0.09958637541666188
196,-489,49.125,-122.125,20,2,12.5,31,8,True,0.04463276836158193,0.034482758620689655,0.039557763491135794,0.10734463276836158,0.25806451612903225,2.27,0.7262803081510151,0.3199472723132225
196,-488,49.125,-121.875,86,1,9.0,82,6,True,0.006043883852319012,0.0,0.003021941926159506,0.480225988700565,0.07317073170731707,0.39,0.14985957468068864,0.38425531969407345
196,-487,49.125,-121.625,4,9,2.0,1,1,True,0.24576271186440676,0.27586206896551724,0.260812390414962,0.01694915254237288,1.0,,,
196,-486,49.125,-121.375,11,18,2.25,5,0,True,0.08577298407806883,0.5862068965517241,0.3359899403148965,0.05649717514124294,0.0,0.0,0.0,
196,-485,49.125,-121.125,1,16,0.0,2,2,True,1.0,0.5172413793103449,0.7586206896551724,0.0,1.0,,,
196,-484,49.125,-120.875,88,1,0.0,68,4,True,0.005778120184899847,0.0,0.0028890600924499233,0.4915254237288136,0.058823529411764705,0.505,0.05472885589535123,0.10837397207000243
196,-483,49.125,-120.625,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
196,-480,49.125,-119.875,2,18,1.0,2,2,True,0.4971751412429378,0.5862068965517241,0.541691018897331,0.005649717514124294,1.0,,,
196,-479,49.125,-119.625,9,7,1.0,15,9,True,0.10608913998744507,0.20689655172413793,0.15649284585579148,0.04519774011299435,0.6,3.005,0.8376101334654651,0.27873881313326626
196,-478,49.125,-119.375,10,1,2.25,5,1,True,0.09491525423728814,0.0,0.04745762711864407,0.05084745762711865,0.2,1.0,2.9482298198203223,2.9482298198203223
196,-477,49.125,-119.125,6,13,1.0,2,0,True,0.16195856873822975,0.41379310344827586,0.2878758360932528,0.02824858757062147,0.0,,,
196,-476,49.125,-118.875,14,3,6.0,3,1,True,0.06618240516545601,0.06896551724137931,0.06757396120341766,0.07344632768361582,0.3333333333333333,,,
196,-475,49.125,-118.625,1,14,0.0,0,0,False,1.0,0.4482758620689655,0.7241379310344828,0.0,,,,
196,-474,49.125,-118.375,2,3,1.0,2,2,True,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,1.0,,,
196,-473,49.125,-118.125,2,3,1.0,1,1,True,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,1.0,,,
196,-471,49.125,-117.625,4,1,6.0,5,1,True,0.24576271186440676,0.0,0.12288135593220338,0.01694915254237288,0.2,1.0,0.029482298198203395,0.029482298198203395
196,-470,49.125,-117.375,1,14,0.0,1,1,True,1.0,0.4482758620689655,0.7241379310344828,0.0,1.0,,,
196,-469,49.125,-117.125,2,2,0.0,4,1,True,0.4971751412429378,0.034482758620689655,0.2658289499318137,0.005649717514124294,0.25,,,
196,-467,49.125,-116.625,6,2,8.0,6,1,True,0.16195856873822975,0.034482758620689655,0.0982206636794597,0.02824858757062147,0.16666666666666666,1.0,0.08423513770915225,0.08423513770915225
196,-466,49.125,-116.375,8,11,1.0,0,0,False,0.12005649717514125,0.3448275862068966,0.2324420416910189,0.03954802259887006,,,,
196,-457,49.125,-114.125,29,1,6.25,34,5,True,0.02902785895187999,0.0,0.014513929475939996,0.15819209039548024,0.14705882352941177,0.92,0.842231740510397,0.9154692831634749
197,-505,49.375,-126.125,2,7,1.0,5,3,True,0.4971751412429378,0.20689655172413793,0.35203584648353786,0.005649717514124294,0.6,3.0,0.7042993458459662,0.23476644861532206
197,-500,49.375,-124.875,2,12,1.0,11,4,True,0.4971751412429378,0.3793103448275862,0.438242743035262,0.005649717514124294,0.36363636363636365,2.705,0.06557086371258543,0.024240615050863373
197,-499,49.375,-124.625,7,9,3.0,21,8,True,0.1380145278450363,0.27586206896551724,0.20693829840527678,0.03389830508474576,0.38095238095238093,3.395,0.5207640097068553,0.15339146088567168
197,-498,49.375,-124.375,36,1,1.5,46,7,True,0.022284996861268048,0.0,0.011142498430634024,0.1977401129943503,0.15217391304347827,1.685,0.12867681458936914,0.07636606207084222
197,-497,49.375,-124.125,23,2,18.0,28,3,True,0.038074183247359374,0.034482758620689655,0.03627847093402452,0.12429378531073447,0.10714285714285714,0.47,0.061100975437045,0.1300020753979681
197,-496,49.375,-123.875,27,3,18.0,100,5,True,0.03159656831973216,0.06896551724137931,0.050281042780555736,0.14689265536723164,0.05,0.425,0.22139323187604332,0.5209252514730431
197,-495,49.375,-123.625,40,2,0.9000000000000004,101,4,True,0.019491525423728815,0.034482758620689655,0.026987142022209233,0.22033898305084745,0.039603960396039604,0.19,0.035659541630207785,0.18768179805372517
197,-494,49.375,-123.375,60,2,6.25,113,3,True,0.011111111111111112,0.034482758620689655,0.022796934865900384,0.3333333333333333,0.02654867256637168,0.195,0.050643894872695265,0.2597122813984373
197,-493,49.375,-123.125,139,1,4.899999999999999,259,3,True,0.0015851725399341548,0.0,0.0007925862699670774,0.7796610169491526,0.011583011583011582,0.09,0.01000652503431547,0.11118361149239411
197,-492,49.375,-122.875,42,3,6.0,84,6,True,0.018294323379069142,0.06896551724137931,0.043629920310224224,0.23163841807909605,0.07142857142857142,0.495,0.335439481444596,0.6776555180698909
197,-491,49.375,-122.625,21,1,2.0,24,4,True,0.042238364272262574,0.0,0.021119182136131287,0.11299435028248588,0.16666666666666666,1.125,0.07950951071733409,0.0706751206376303
197,-490,49.375,-122.375,2,3,0.0,1,0,True,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,0.0,,,
197,-488,49.375,-121.875,5,17,4.5,5,4,True,0.19548022598870057,0.5517241379310345,0.3736021819598675,0.022598870056497175,0.8,4.0,0.7713499017273873,0.19283747543184682
197,-487,49.375,-121.625,2,14,1.0,2,1,True,0.4971751412429378,0.4482758620689655,0.4727255016559517,0.005649717514124294,0.5,,,
197,-486,49.375,-121.375,4,9,6.0,8,1,True,0.24576271186440676,0.27586206896551724,0.260812390414962,0.01694915254237288,0.125,1.0,0.06142145457959045,0.06142145457959045
197,-485,49.375,-121.125,1,17,0.0,1,1,True,1.0,0.5517241379310345,0.7758620689655172,0.0,1.0,,,
197,-484,49.375,-120.875,2,3,0.0,0,0,False,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,,,,
197,-483,49.375,-120.625,2,3,1.0,2,1,True,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,0.5,,,
197,-482,49.375,-120.375,10,9,2.0,1,0,True,0.09491525423728814,0.27586206896551724,0.1853886616014027,0.05084745762711865,0.0,,,
197,-480,49.375,-119.875,2,3,0.0,1,1,True,0.4971751412429378,0.06896551724137931,0.2830703292421586,0.005649717514124294,1.0,,,
197,-479,49.375,-119.625,38,4,2.25,66,10,True,0.020814748736247397,0.10344827586206896,0.062131512299158184,0.20903954802259886,0.15151515151515152,1.13,0.5554612611674989,0.49155863820132656
197,-478,49.375,-119.375,7,3,2.0,17,8,True,0.1380145278450363,0.06896551724137931,0.1034900225432078,0.03389830508474576,0.47058823529411764,3.305,1.1307385315539473,0.3421296615896966
197,-472,49.375,-117.875,1,20,0.0,5,1,True,1.0,0.6551724137931034,0.8275862068965517,0.0,0.2,1.0,0.015936377404434286,0.015936377404434286
197,-471,49.375,-117.625,1,4,0.0,10,8,True,1.0,0.10344827586206896,0.5517241379310345,0.0,0.8,4.585,0.6651488557231987,0.1450706337455177
197,-470,49.375,-117.375,7,3,12.5,7,3,True,0.1380145278450363,0.06896551724137931,0.1034900225432078,0.03389830508474576,0.42857142857142855,2.4,0.08293501275604881,0.03455625531502034
197,-464,49.375,-115.875,1,12,0.0,3,1,True,1.0,0.3793103448275862,0.6896551724137931,0.0,0.3333333333333333,,,
197,-461,49.375,-115.125,3,4,3.0,6,2,True,0.3295668549905838,0.10344827586206896,0.21650756542632638,0.011299435028248588,0.3333333333333333,1.655,0.11978938541722366,0.0723802933034584
197,-458,49.375,-114.375,7,12,2.0,31,11,True,0.1380145278450363,0.3793103448275862,0.25866243633631125,0.03389830508474576,0.3548387096774194,3.25,1.5801209297728906,0.4861910553147356
197,-457,49.375,-114.125,8,5,28.0,7,4,True,0.12005649717514125,0.13793103448275862,0.12899376582894995,0.03954802259887006,0.5714285714285714,2.88,0.7950264106299225,0.2760508370242787
198,-508,49.625,-126.875,1,22,0.0,5,3,True,1.0,0.7241379310344828,0.8620689655172413,0.0,0.6,3.0,0.177325764254395,0.05910858808479833
198,-507,49.625,-126.625,1,2,0.0,1,0,True,1.0,0.034482758620689655,0.5172413793103449,0.0,0.0,,,
198,-503,49.625,-125.625,2,11,1.0,1,1,True,0.4971751412429378,0.3448275862068966,0.4210013637249172,0.005649717514124294,1.0,,,
198,-502,49.625,-125.375,9,1,4.5,14,0,True,0.10608913998744507,0.0,0.053044569993722535,0.04519774011299435,0.0,0.0,0.0,
198,-501,49.625,-125.125,3,1,0.5,6,4,True,0.3295668549905838,0.0,0.1647834274952919,0.011299435028248588,0.6666666666666666,3.555,0.30427990610157507,0.0855920973562799
198,-500,49.625,-124.875,6,3,8.0,18,4,True,0.16195856873822975,0.06896551724137931,0.11546204298980453,0.02824858757062147,0.2222222222222222,2.07,0.23221684794617992,0.112182052147913
198,-499,49.625,-124.625,1,15,0.0,5,5,True,1.0,0.4827586206896552,0.7413793103448276,0.0,1.0,5.0,0.6293520425141252,0.12587040850282505
198,-498,49.625,-124.375,3,3,3.0,0,0,False,0.3295668549905838,0.06896551724137931,0.19926618611598157,0.011299435028248588,,,,
198,-497,49.625,-124.125,4,17,6.0,19,5,True,0.24576271186440676,0.5517241379310345,0.39874342489772063,0.01694915254237288,0.2631578947368421,2.355,0.1544100601269816,0.06556690451251873
198,-496,49.625,-123.875,11,2,10.0,9,4,True,0.08577298407806883,0.034482758620689655,0.06012787134937924,0.05649717514124294,0.4444444444444444,2.29,0.4963758572128906,0.21675801625017058
198,-495,49.625,-123.625,3,2,0.5,3,3,True,0.3295668549905838,0.034482758620689655,0.18202480680563674,0.011299435028248588,1.0,,,
198,-494,49.625,-123.375,1,25,0.0,1,1,True,1.0,0.8275862068965517,0.9137931034482758,0.0,1.0,,,
198,-493,49.625,-123.125,13,1,32.0,26,5,True,0.07170795306388528,0.0,0.03585397653194264,0.06779661016949153,0.19230769230769232,1.105,0.20216360430784996,0.18295348806140269
198,-492,49.625,-122.875,1,15,0.0,0,0,False,1.0,0.4827586206896552,0.7413793103448276,0.0,,,,
198,-486,49.625,-121.375,1,18,0.0,1,1,True,1.0,0.5862068965517241,0.7931034482758621,0.0,1.0,,,
198,-485,49.625,-121.125,15,1,2.0,8,1,True,0.061393596986817324,0.0,0.030696798493408662,0.07909604519774012,0.125,0.895,0.054972201848733394,0.06142145457959038
198,-484,49.625,-120.875,1,24,0.0,3,2,True,1.0,0.7931034482758621,0.896551724137931,0.0,0.6666666666666666,,,
198,-480,49.625,-119.875,1,22,0.0,6,2,True,1.0,0.7241379310344828,0.8620689655172413,0.0,0.3333333333333333,1.82,0.05207620896691998,0.02861330163017581
198,-479,49.625,-119.625,29,2,4.166666666666668,20,6,True,0.02902785895187999,0.034482758620689655,0.031755308786284825,0.15819209039548024,0.3,1.675,0.9542724616499005,0.5697149024775525
198,-476,49.625,-118.875,1,30,0.0,3,2,True,1.0,1.0,1.0,0.0,0.6666666666666666,,,
198,-475,49.625,-118.625,1,19,0.0,2,2,True,1.0,0.6206896551724138,0.8103448275862069,0.0,1.0,,,
198,-471,49.625,-117.625,5,1,4.5,5,1,True,0.19548022598870057,0.0,0.09774011299435029,0.022598870056497175,0.2,1.0,0.03639789901012763,0.03639789901012763
198,-470,49.625,-117.375,4,4,6.0,3,3,True,0.24576271186440676,0.10344827586206896,0.17460549386323787,0.01694915254237288,1.0,,,
198,-469,49.625,-117.125,5,2,10.0,11,5,True,0.19548022598870057,0.034482758620689655,0.11498149230469512,0.022598870056497175,0.45454545454545453,2.305,0.4264194345105337,0.18499758547094736
198,-468,49.625,-116.875,8,7,0.666666666666667,4,2,True,0.12005649717514125,0.20689655172413793,0.1634765244496396,0.03954802259887006,0.5,,,
198,-465,49.625,-116.125,2,4,0.0,3,1,True,0.4971751412429378,0.10344827586206896,0.3003117085525034,0.005649717514124294,0.3333333333333333,,,
198,-464,49.625,-115.875,9,4,1.0,5,2,True,0.10608913998744507,0.10344827586206896,0.10476870792475701,0.04519774011299435,0.4,2.0,0.052334276414561814,0.026167138207280907
198,-463,49.625,-115.625,3,5,0.5,4,2,True,0.3295668549905838,0.13793103448275862,0.2337489447366712,0.011299435028248588,0.5,,,
198,-462,49.625,-115.375,2,12,1.0,0,0,False,0.4971751412429378,0.3793103448275862,0.438242743035262,0.005649717514124294,,,,
198,-460,49.625,-114.875,1,16,0.0,1,1,True,1.0,0.5172413793103449,0.7586206896551724,0.0,1.0,,,
198,-459,49.625,-114.625,1,13,0.0,6,6,True,1.0,0.41379310344827586,0.7068965517241379,0.0,1.0,5.0,0.3572844256503482,0.07145688513006963
198,-458,49.625,-114.375,7,13,3.0,6,2,True,0.1380145278450363,0.41379310344827586,0.27590381564665606,0.03389830508474576,0.3333333333333333,1.805,0.05549179415369025,0.030743376262432273
198,-457,49.625,-114.125,6,12,3.0,1,0,True,0.16195856873822975,0.3793103448275862,0.270634456782908,0.02824858757062147,0.0,,,
199,-507,49.875,-126.625,3,10,0.5,0,0,False,0.3295668549905838,0.3103448275862069,0.3199558412883954,0.011299435028248588,,,,
199,-506,49.875,-126.375,1,10,0.0,1,1,True,1.0,0.3103448275862069,0.6551724137931034,0.0,1.0,,,
199,-505,49.875,-126.125,1,10,0.0,0,0,False,1.0,0.3103448275862069,0.6551724137931034,0.0,,,,
199,-502,49.875,-125.375,1,7,0.0,2,0,True,1.0,0.20689655172413793,0.603448275862069,0.0,0.0,,,
199,-501,49.875,-125.125,13,2,32.0,24,6,True,0.07170795306388528,0.034482758620689655,0.053095355842287466,0.06779661016949153,0.25,1.55,0.19100270616288856,0.1232275523631539
199,-500,49.875,-124.875,10,1,15.0,29,5,True,0.09491525423728814,0.0,0.04745762711864407,0.05084745762711865,0.1724137931034483,1.31,0.062206811273603356,0.0474861154760331
199,-499,49.875,-124.625,3,2,3.0,12,2,True,0.3295668549905838,0.034482758620689655,0.18202480680563674,0.011299435028248588,0.16666666666666666,1.43,0.06926000211641407,0.04843356791357628
199,-498,49.875,-124.375,3,9,0.5,2,2,True,0.3295668549905838,0.27586206896551724,0.3027144619780505,0.011299435028248588,1.0,,,
199,-493,49.875,-123.125,8,1,4.5,9,0,True,0.12005649717514125,0.0,0.06002824858757062,0.03954802259887006,0.0,0.0,0.0,
199,-486,49.875,-121.375,1,18,0.0,0,0,False,1.0,0.5862068965517241,0.7931034482758621,0.0,,,,
199,-484,49.875,-120.875,1,26,0.0,0,0,False,1.0,0.8620689655172413,0.9310344827586207,0.0,,,,
199,-483,49.875,-120.625,1,10,0.0,6,3,True,1.0,0.3103448275862069,0.6551724137931034,0.0,0.5,3.0,0.13319857421538728,0.044399524738462426
199,-482,49.875,-120.375,3,5,3.0,0,0,False,0.3295668549905838,0.13793103448275862,0.2337489447366712,0.011299435028248588,,,,
199,-481,49.875,-120.125,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
199,-480,49.875,-119.875,3,12,0.5,3,2,True,0.3295668549905838,0.3793103448275862,0.354438599909085,0.011299435028248588,0.6666666666666666,,,
199,-479,49.875,-119.625,19,11,0.5,7,2,True,0.047279214986619085,0.3448275862068966,0.19605340059675783,0.1016949152542373,0.2857142857142857,1.405,0.045800572646702814,0.0325982723464077
199,-478,49.875,-119.375,80,1,8.166666666666664,72,4,True,0.006920903954802261,0.0,0.0034604519774011303,0.4463276836158192,0.05555555555555555,0.29,0.03949670144688094,0.13619552223062392
199,-476,49.875,-118.875,1,8,0.0,1,1,True,1.0,0.2413793103448276,0.6206896551724138,0.0,1.0,,,
199,-475,49.875,-118.625,1,24,0.0,0,0,False,1.0,0.7931034482758621,0.896551724137931,0.0,,,,
199,-469,49.875,-117.125,1,12,0.0,3,2,True,1.0,0.3793103448275862,0.6896551724137931,0.0,0.6666666666666666,,,
199,-464,49.875,-115.875,2,9,1.0,0,0,False,0.4971751412429378,0.27586206896551724,0.38651860510422753,0.005649717514124294,,,,
199,-463,49.875,-115.625,8,6,6.0,0,0,False,0.12005649717514125,0.1724137931034483,0.14623514513929475,0.03954802259887006,,,,
199,-457,49.875,-114.125,2,19,1.0,0,0,False,0.4971751412429378,0.6206896551724138,0.5589323982076758,0.005649717514124294,,,,
200,-510,50.125,-127.375,2,26,1.0,0,0,False,0.4971751412429378,0.8620689655172413,0.6796220533800896,0.005649717514124294,,,,
200,-506,50.125,-126.375,2,7,1.0,0,0,False,0.4971751412429378,0.20689655172413793,0.35203584648353786,0.005649717514124294,,,,
200,-504,50.125,-125.875,1,25,0.0,0,0,False,1.0,0.8275862068965517,0.9137931034482758,0.0,,,,
200,-503,50.125,-125.625,1,3,0.0,0,0,False,1.0,0.06896551724137931,0.5344827586206896,0.0,,,,
