gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,o_discover,o_staleness,o_conservation,travel_min,o_env_coverage,o_urgency,rare_newK,w_newK,meanrarity_newK
195,-495,48.875,-123.625,17,2,20.16666666666667,39,26,True,0.05650536076499565,0.025,0.040752680382497825,0.03940886699507389,0.6666666666666666,0.05650536076499565,0.025,0.42205024541934055,,0.24289417768284088,0.032991075487384995,3.415,1.511515636414771,0.4426107280863166
195,-494,48.875,-123.375,6,7,15.0,18,14,True,0.16461412151067323,0.15,0.15730706075533663,0.012315270935960592,0.7777777777777778,0.16461412151067323,0.15,0.38339417378355617,67.0,0.28301464347195554,0.010229345020906364,4.265,1.494490142400133,0.35040800525208277
195,-493,48.875,-123.125,1,9,0.0,4,1,True,1.0,0.2,0.6,0.0,0.25,1.0,0.2,0.003706972639011472,,0.3916915063800309,0.004659395048734807,,,
196,-504,49.125,-125.875,1,2,0.0,6,5,True,1.0,0.025,0.5125,0.0,0.8333333333333334,1.0,0.025,0.04983164983164983,,0.06522927633150744,0.00467645474911635,4.35,0.31066493289260416,0.0714172259523228
196,-503,49.125,-125.625,4,10,6.0,30,15,True,0.2481527093596059,0.225,0.23657635467980295,0.007389162561576354,0.5,0.2481527093596059,0.225,0.09200036075036075,124.0,0.10569266259498211,0.01266886231551303,4.2,0.8649602442870693,0.20594291530644507
196,-502,49.125,-125.375,10,9,8.0,2,1,True,0.09778325123152709,0.2,0.14889162561576355,0.022167487684729065,0.5,0.09778325123152709,0.2,0.2889637756879136,158.0,0.16154591859502948,0.02390685454405232,,,
196,-501,49.125,-125.125,2,4,0.0,0,0,False,0.4987684729064039,0.075,0.28688423645320194,0.0024630541871921183,,0.4987684729064039,0.075,0.024426078971533514,196.0,0.12595347895193465,0.07547153867922356,,,
196,-498,49.125,-124.375,6,13,1.0,9,6,True,0.16461412151067323,0.3,0.2323070607553366,0.012315270935960592,0.6666666666666666,0.16461412151067323,0.3,0.06612661421068775,67.0,0.051718537238378194,0.35426329130144296,3.38,1.259932336300187,0.37276104624265893
196,-497,49.125,-124.125,2,20,1.0,13,11,True,0.4987684729064039,0.475,0.48688423645320195,0.0024630541871921183,0.8461538461538461,0.4987684729064039,0.475,0.05984848484848485,34.0,0.15898019783542766,0.39525538003979593,4.72,0.43291100001879285,0.09171843220737137
196,-496,49.125,-123.875,11,4,21.0,23,18,True,0.08866995073891625,0.075,0.08183497536945812,0.024630541871921183,0.782608695652174,0.08866995073891625,0.075,0.21953020086342395,3.0,0.24759296204268275,0.06014991393727533,4.15,0.6782858368134889,0.16344237031650333
196,-495,49.125,-123.625,6,2,8.0,39,17,True,0.16461412151067323,0.025,0.09480706075533661,0.012315270935960592,0.4358974358974359,0.16461412151067323,0.025,0.057607173721491385,,0.27024758173337476,0.0016270565172367651,3.15,1.927855007267853,0.6120174626247152
196,-493,49.125,-123.125,18,3,12.5,101,55,True,0.05322933771209633,0.05,0.051614668856048165,0.04187192118226601,0.5445544554455446,0.05322933771209633,0.05,0.30746623486280106,4.0,0.20491242057187997,0.01559458107099365,4.39,1.206422864321649,0.27481158640584263
196,-492,49.125,-122.875,18,3,30.25,54,34,True,0.05322933771209633,0.05,0.051614668856048165,0.04187192118226601,0.6296296296296297,0.05322933771209633,0.05,0.22333945933575658,0.0,0.15099308587538965,0.02293019563418827,4.2,1.0608907928042417,0.2525930459057718
196,-491,49.125,-122.625,23,2,66.0,54,22,True,0.04112229599485971,0.025,0.03306114799742986,0.054187192118226604,0.4074074074074074,0.04112229599485971,0.025,0.17801707411493906,1.0,0.13494810063824159,0.061469901799812154,2.855,0.554960456309744,0.19438194616803642
196,-490,49.125,-122.375,19,1,55.0,50,20,True,0.050298159191081146,0.0,0.025149079595540573,0.04433497536945813,0.4,0.050298159191081146,0.0,0.1817647592675649,11.0,0.11911202326211413,0.06918082679240763,2.92,0.5520528196615071,0.18905918481558462
196,-489,49.125,-122.125,21,10,16.0,37,24,True,0.04527328172648369,0.225,0.13513664086324184,0.04926108374384237,0.6486486486486487,0.04527328172648369,0.225,0.20332298640983446,11.0,0.054160369854837596,0.06616767458997737,4.355,1.1610192968999555,0.26659455726749837
196,-488,49.125,-121.875,14,1,72.0,16,10,True,0.06914144968332159,0.0,0.034570724841660794,0.03201970443349754,0.625,0.06914144968332159,0.0,0.15378550269586777,29.0,0.14516618887752802,0.04389641249546346,3.62,0.8215321436221277,0.22694258111108498
196,-487,49.125,-121.625,3,15,0.5,7,5,True,0.3316912972085385,0.35,0.34084564860426925,0.0049261083743842365,0.7142857142857143,0.3316912972085385,0.35,0.007672469374597033,62.0,0.10758641867045093,0.05149431846252775,3.87,0.29799778942303373,0.07700201277080974
196,-486,49.125,-121.375,12,10,24.5,3,3,True,0.08107553366174054,0.225,0.15303776683087028,0.027093596059113302,1.0,0.08107553366174054,0.225,0.15796637277029435,135.0,0.15880095993371257,0.039736006365349116,,,
196,-484,49.125,-120.875,9,3,24.5,85,52,True,0.10892172961138477,0.05,0.0794608648056924,0.019704433497536946,0.611764705882353,0.10892172961138477,0.05,0.07586304777094251,81.0,0.2667292905097726,0.0359061334196237,4.385,2.0235953880552353,0.4614812743569522
196,-480,49.125,-119.875,4,20,6.0,0,0,False,0.2481527093596059,0.475,0.3615763546798029,0.007389162561576354,,0.2481527093596059,0.475,0.41115864527629237,212.0,0.2542576107998547,0.8651739824881155,,,
196,-479,49.125,-119.625,2,22,1.0,45,22,True,0.4987684729064039,0.525,0.5118842364532019,0.0024630541871921183,0.4888888888888889,0.4987684729064039,0.525,0.6227272727272727,255.0,0.23077217676518083,0.11807569164981215,4.2,1.9349765732111341,0.46070870790741286
196,-478,49.125,-119.375,1,25,0.0,7,7,True,1.0,0.6,0.8,0.0,1.0,1.0,0.6,0.24545454545454545,238.0,0.21757501345342467,0.42725056013604723,5.0,4.512637113998905,0.902527422799781
196,-477,49.125,-119.125,2,28,1.0,0,0,False,0.4987684729064039,0.675,0.586884236453202,0.0024630541871921183,,0.4987684729064039,0.675,0.5045913682277319,251.0,0.19185931689036412,0.23381847013550303,,,
196,-476,49.125,-118.875,1,1,0.0,2,2,True,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.1057239057239057,246.0,0.16057564176899128,0.20023458905675867,,,
196,-475,49.125,-118.625,3,15,3.0,1,1,True,0.3316912972085385,0.35,0.34084564860426925,0.0049261083743842365,1.0,0.3316912972085385,0.35,0.04969793630080711,199.0,0.16833946151646756,0.18438836363311262,,,
196,-473,49.125,-118.125,1,18,0.0,0,0,False,1.0,0.425,0.7125,0.0,,1.0,0.425,0.023529411764705882,183.0,0.15305575138619337,0.1475695661629503,,,
196,-469,49.125,-117.125,1,8,0.0,6,3,True,1.0,0.175,0.5875,0.0,0.5,1.0,0.175,0.024426078971533514,312.0,0.18298738338998047,0.07796436803402139,2.855,0.37758276292718884,0.13225315689218523
196,-467,49.125,-116.625,1,13,0.0,3,3,True,1.0,0.3,0.65,0.0,1.0,1.0,0.3,0.03966942148760331,184.0,0.47599232745895476,0.09294693967136686,,,
196,-466,49.125,-116.375,1,28,0.0,2,2,True,1.0,0.675,0.8375,0.0,1.0,1.0,0.675,0.19515151515151513,293.0,0.15673071872121314,0.15254880613545246,,,
196,-457,49.125,-114.125,9,1,1.5,27,18,True,0.10892172961138477,0.0,0.054460864805692386,0.019704433497536946,0.6666666666666666,0.10892172961138477,0.0,0.03724766033434109,133.0,0.24413539901890524,0.6962777533469126,4.225,2.1771005711813647,0.5152900760192579
197,-502,49.375,-125.375,1,15,0.0,0,0,False,1.0,0.35,0.675,0.0,,1.0,0.35,0.015344938749194069,237.0,0.04266047436605908,0.05169476100503163,,,
197,-501,49.375,-125.125,1,16,0.0,1,1,True,1.0,0.375,0.6875,0.0,1.0,1.0,0.375,0.04688995215311004,96.0,0.07355443756657945,0.32810671521395673,,,
197,-500,49.375,-124.875,4,7,6.0,28,21,True,0.2481527093596059,0.15,0.19907635467980295,0.007389162561576354,0.75,0.2481527093596059,0.15,0.22159285159285158,113.0,0.07884806952553187,0.1890051038394632,4.76,1.8816988791632954,0.39531489058052427
197,-499,49.375,-124.625,7,3,12.5,48,17,True,0.14074595355383532,0.05,0.09537297677691767,0.014778325123152709,0.3541666666666667,0.14074595355383532,0.05,0.076930854537605,30.0,0.12386071290798621,0.13214343437170317,3.34,0.42888093384070963,0.12840746522176935
197,-498,49.375,-124.375,11,4,4.5,13,10,True,0.08866995073891625,0.075,0.08183497536945812,0.024630541871921183,0.7692307692307693,0.08866995073891625,0.075,0.12315694542993227,,0.26553725111188115,0.051799256138358195,4.08,1.22636687624218,0.3005801167260245
