gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK,w_newK,w_meanrarity
196,-467,49.125,-116.625,7,13,1.0,15,2,True,0.1336405529953917,0.41379310344827586,0.2737168282218338,0.06451612903225806,0.13333333333333333,1.46,0.11356259404155045,0.07891637891022989
196,-461,49.125,-115.125,1,13,0.0,3,2,True,1.0,0.41379310344827586,0.7068965517241379,0.0,0.6666666666666666,,,
197,-505,49.375,-126.125,1,16,0.0,0,0,False,1.0,0.5172413793103449,0.7586206896551724,0.0,,,,
197,-502,49.375,-125.375,1,12,0.0,0,0,False,1.0,0.3793103448275862,0.6896551724137931,0.0,,,,
197,-500,49.375,-124.875,5,6,1.0,10,3,True,0.1913978494623656,0.1724137931034483,0.18190582128290694,0.043010752688172046,0.3,2.65,0.3262589096650975,0.12095074704890997
197,-499,49.375,-124.625,12,2,3.0,10,1,True,0.07347670250896056,0.034482758620689655,0.05397973056482511,0.11827956989247312,0.1,0.8,0.1625377993815043,0.1625377993815043
197,-498,49.375,-124.375,4,10,2.0,30,6,True,0.24193548387096775,0.3103448275862069,0.2761401557285873,0.03225806451612903,0.2,2.295,0.18840298036125738,0.075944420970194
197,-497,49.375,-124.125,2,17,1.0,10,4,True,0.49462365591397844,0.5517241379310345,0.5231738969225065,0.010752688172043012,0.4,3.755,0.25207720531388345,0.06755370439319425
197,-496,49.375,-123.875,4,8,0.0,6,2,True,0.24193548387096775,0.2413793103448276,0.2416573971078977,0.03225806451612903,0.3333333333333333,,,
197,-495,49.375,-123.625,3,12,3.0,4,0,True,0.3261648745519713,0.3793103448275862,0.35273760968977874,0.021505376344086023,0.0,,,
197,-494,49.375,-123.375,13,2,1.0,41,1,True,0.06699751861042183,0.034482758620689655,0.05074013861555574,0.12903225806451613,0.024390243902439025,0.335,0.02552351380912675,0.02552351380912675
197,-493,49.375,-123.125,23,1,1.0,40,3,True,0.03319308087891538,0.0,0.01659654043945769,0.23655913978494625,0.075,0.765,0.07272478099558582,0.055627473415555954
197,-492,49.375,-122.875,9,8,0.25,41,2,True,0.10155316606929508,0.2413793103448276,0.17146623820706133,0.08602150537634409,0.04878048780487805,1.44,0.22247361290343304,0.1470459153779543
197,-491,49.375,-122.625,8,1,4.5,21,3,True,0.11559139784946236,0.0,0.05779569892473118,0.07526881720430108,0.14285714285714285,1.67,0.2252482786951135,0.12835008839569156
197,-490,49.375,-122.375,1,3,0.0,2,1,True,1.0,0.06896551724137931,0.5344827586206896,0.0,0.5,,,
197,-488,49.375,-121.875,5,2,0.0,7,2,True,0.1913978494623656,0.034482758620689655,0.11294030404152763,0.043010752688172046,0.2857142857142857,,,
197,-487,49.375,-121.625,1,24,0.0,3,1,True,1.0,0.7931034482758621,0.896551724137931,0.0,0.3333333333333333,,,
197,-486,49.375,-121.375,2,15,1.0,3,1,True,0.49462365591397844,0.4827586206896552,0.4886911383018168,0.010752688172043012,0.3333333333333333,,,
197,-483,49.375,-120.625,2,6,0.0,0,0,False,0.49462365591397844,0.1724137931034483,0.33351872450871334,0.010752688172043012,,,,
197,-482,49.375,-120.375,2,18,1.0,3,3,True,0.49462365591397844,0.5862068965517241,0.5404152762328512,0.010752688172043012,1.0,,,
197,-481,49.375,-120.125,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,,,
197,-480,49.375,-119.875,1,19,0.0,9,5,True,1.0,0.6206896551724138,0.8103448275862069,0.0,0.5555555555555556,4.625,1.1031063136968289,0.2380073216738062
197,-479,49.375,-119.625,25,1,4.166666666666668,43,4,True,0.029677419354838707,0.0,0.014838709677419354,0.25806451612903225,0.09302325581395349,1.31,0.2361676898332317,0.14100039525528227
197,-478,49.375,-119.375,6,6,0.0,16,4,True,0.15770609318996415,0.1724137931034483,0.16505994314670622,0.053763440860215055,0.25,3.455,0.71231507647014,0.20590184278529575
197,-473,49.375,-118.125,1,9,0.0,1,1,True,1.0,0.27586206896551724,0.6379310344827587,0.0,1.0,,,
197,-471,49.375,-117.625,5,2,1.0,18,2,True,0.1913978494623656,0.034482758620689655,0.11294030404152763,0.043010752688172046,0.1111111111111111,1.17,0.28391683343575486,0.18487036193765136
197,-470,49.375,-117.375,1,3,0.0,18,3,True,1.0,0.06896551724137931,0.5344827586206896,0.0,0.16666666666666666,1.6,0.062284392080783055,0.03649967528752859
197,-464,49.375,-115.875,2,1,1.0,0,0,False,0.49462365591397844,0.0,0.24731182795698922,0.010752688172043012,,,,
197,-463,49.375,-115.625,3,13,0.5,0,0,False,0.3261648745519713,0.41379310344827586,0.3699789890001236,0.021505376344086023,,,,
197,-462,49.375,-115.375,1,17,0.0,0,0,False,1.0,0.5517241379310345,0.7758620689655172,0.0,,,,
197,-457,49.375,-114.125,2,14,0.0,2,2,True,0.49462365591397844,0.4482758620689655,0.471449758991472,0.010752688172043012,1.0,,,
198,-508,49.625,-126.875,3,5,0.5,0,0,False,0.3261648745519713,0.13793103448275862,0.23204795451736496,0.021505376344086023,,,,
198,-503,49.625,-125.625,1,22,0.0,1,1,True,1.0,0.7241379310344828,0.8620689655172413,0.0,1.0,,,
198,-502,49.625,-125.375,2,3,0.0,3,3,True,0.49462365591397844,0.06896551724137931,0.28179458657767886,0.010752688172043012,1.0,,,
198,-501,49.625,-125.125,3,1,0.5,7,2,True,0.3261648745519713,0.0,0.16308243727598565,0.021505376344086023,0.2857142857142857,,,
198,-500,49.625,-124.875,3,9,0.5,1,1,True,0.3261648745519713,0.27586206896551724,0.30101347175874427,0.021505376344086023,1.0,,,
198,-499,49.625,-124.625,1,22,0.0,6,3,True,1.0,0.7241379310344828,0.8620689655172413,0.0,0.5,,,
198,-497,49.625,-124.125,2,6,1.0,9,5,True,0.49462365591397844,0.1724137931034483,0.33351872450871334,0.010752688172043012,0.5555555555555556,4.765,0.3038802394100777,0.06352876998657829
198,-496,49.625,-123.875,6,2,3.0,13,3,True,0.15770609318996415,0.034482758620689655,0.09609442590532691,0.053763440860215055,0.23076923076923078,1.955,0.1501538559699593,0.0749139264866262
198,-494,49.625,-123.375,1,12,0.0,1,1,True,1.0,0.3793103448275862,0.6896551724137931,0.0,1.0,,,
198,-493,49.625,-123.125,7,2,1.0,18,1,True,0.1336405529953917,0.034482758620689655,0.08406165580804068,0.06451612903225806,0.05555555555555555,0.45,0.0342853170570359,0.0342853170570359
